449
449

--- BACKTEST RESULT ---
Balance: 35080.83
PnL:     34980.83

--- TRADES ---
Total:    2429
Win rate: 42.77%

--- PERFORMANCE ---
Avg Win:       484.95
Avg Loss:      -337.32
Profit Factor: 1.07
Expectancy:    14.40

--- RISK ---
Max Drawdown: 68.48%

--- BEHAVIOR ---
Avg Hold: 167.40 bars
Full Stats (Sorted by Losses):
┌─────────┬───────────────────────┬──────┬────────┬──────────┬─────────┐
│ (index) │ Symbol                │ Wins │ Losses │ TotalPnL │ WinRate │
│ 225     │ 'ACUUSDT'             │ 1    │ 2      │ -5.76    │ 33.33   │
│ 226     │ 'CLANKERUSDT'         │ 4    │ 2      │ 105      │ 66.67   │
│ 227     │ 'INJUSDT'             │ 1    │ 2      │ 4032.42  │ 33.33   │
│ 228     │ 'LITUSDT'             │ 3    │ 2      │ 1.92     │ 60      │
│ 229     │ 'DOODUSDT'            │ 3    │ 2      │ 7.84     │ 60      │
│ 230     │ 'EDENUSDT'            │ 1    │ 2      │ -34.59   │ 33.33   │
│ 231     │ 'BRUSDT'              │ 2    │ 2      │ 16.35    │ 50      │
│ 232     │ 'BIRBUSDT'            │ 1    │ 2      │ -4.73    │ 33.33   │
│ 233     │ 'EPICUSDT'            │ 5    │ 2      │ 100.02   │ 71.43   │
│ 234     │ 'BMTUSDT'             │ 1    │ 2      │ 19.45    │ 33.33   │
│ 235     │ '1000FLOKIUSDT'       │ 3    │ 2      │ -58.99   │ 60      │
│ 236     │ 'SCRTUSDT'            │ 3    │ 2      │ 3076.91  │ 60      │
│ 237     │ 'LINKUSDT'            │ 1    │ 2      │ -185.77  │ 33.33   │
│ 238     │ 'ARPAUSDT'            │ 4    │ 2      │ 3565.19  │ 66.67   │
│ 239     │ 'CHRUSDT'             │ 2    │ 2      │ -153.16  │ 50      │
│ 240     │ 'IRYSUSDT'            │ 0    │ 2      │ -7.93    │ 0       │
│ 241     │ 'BEATUSDT'            │ 1    │ 2      │ -25.36   │ 33.33   │
│ 242     │ 'BANANAS31USDT'       │ 0    │ 2      │ -29.38   │ 0       │
│ 243     │ 'LINEAUSDT'           │ 0    │ 2      │ -26.78   │ 0       │
│ 244     │ 'KGENUSDT'            │ 1    │ 2      │ -18.43   │ 33.33   │
│ 245     │ 'ERAUSDT'             │ 3    │ 2      │ 21.78    │ 60      │
│ 246     │ 'GIGGLEUSDT'          │ 1    │ 2      │ 45.14    │ 33.33   │
│ 247     │ 'PYRUSDT'             │ 3    │ 2      │ 97.16    │ 60      │
│ 248     │ 'BSVUSDT'             │ 3    │ 2      │ 2646     │ 60      │
│ 249     │ 'HBARUSDT'            │ 0    │ 2      │ -363.46  │ 0       │
│ 250     │ 'ETHUSDT-26JUN26'     │ 0    │ 2      │ -35.63   │ 0       │
│ 251     │ 'MITOUSDT'            │ 2    │ 2      │ 50.82    │ 50      │
│ 252     │ 'BARDUSDT'            │ 1    │ 2      │ 30.89    │ 33.33   │
│ 253     │ 'MLNUSDT'             │ 1    │ 2      │ 23.01    │ 33.33   │
│ 254     │ 'AVNTUSDT'            │ 2    │ 2      │ 16.23    │ 50      │
